TO3001150	[rxn08192]
TI3000739	[rxn18721]
TO3001271	[rxn08304]
TI3000858	[rxn18810]
TI3000857	[rxn18771]
TO3001153	[rxn05149]
TO3001152	[rxn05172]
TR0000190	[rxn28584]
TI3000971	[rxn18843]
TI3000856	[rxn18768]
TI3000735	[rxn18832]
TI3000977	[rxn18731]
TI3000855	[rxn18857]
TI3000734	[rxn18895]
TR0000073	[rxn05667]
TR0000072	[rxn08432]
TI3000974	[rxn18766]
TR0002016	[rxn29221]
TR0000198	[rxn32097]
TR0000076	[rxn09275]
TR0000075	[rxn08999]
TR0001048	[rxn05506]
TR0003586	[rxn08761]
TR0003587	[rxn08791]
TR0000079	[rxn08570]
TR2000136	[rxn29120]
TR2000132	[rxn13229]
TO3000292	[rxn13853]
TO3000052	[rxn05170]
TI3000884	[rxn18776]
TR0002241	[rxn29413]
TR0001031	[rxn13125]
TR0000184	[rxn09299]
TI3000768	[rxn18755]
TR0000063	[rxn08186]
TI3000888	[rxn18781]
TR0000182	[rxn08069]
TI3000765	[rxn18829]
TR0001034	[rxn12814]
TR0002127	[rxn29438]
TR0000185	[rxn05499]
TR0001395	[rxn29467]
TI3000891	[rxn18791]
TR0003696	[rxn30248]
TR0001399	[rxn08878]
TR0001157	[rxn29180]
TR2000161	[rxn09304]
TO3000160	[rxn05147]
TO3000162	[rxn18361]
TI3000874	[rxn18772]
TI3000873	[rxn18765]
TI3000752	[rxn18875]
TI3000750	[rxn18859]
TR0002593	[rxn29386]
TO3000287	[rxn29768]
TI3000757	[rxn18850]
TR0001383	[rxn29463]
TR0001262	[rxn08876]
TI3000999	[rxn05641]
TI3000756	[rxn18797]
TI3000998	[rxn18835]
TR0000293	[rxn32306]
TR0021093	[rxn29899]
TR0000171	[rxn33829]
TI3000755	[rxn18872]
TI3000754	[rxn18887]
TR0001024	[rxn10471]
TR0000056	[rxn13096]
TR0004535	[rxn33112]
TR0001144	[rxn28576]
TR0000175	[rxn09347]
TR0000053	[rxn08625]
TI3000880	[rxn18722]
TR2000039	[rxn05305]
TR0003200	[rxn29427]
TR0000179	[rxn08874]
TR0000058	[rxn05212]
TR0002113	[rxn29902]
TR2000156	[rxn44043]
TR2000035	[rxn41551]
TR2000060	[rxn05615]
TR1000092	[rxn05197]
TR1100139	[rxn08652]
TO3001763	[rxn18659]
TI3000785	[rxn18826]
TI3000784	[rxn18775]
TO3001761	[rxn18645]
TR0003032	[rxn46935]
TI3000783	[rxn18861]
TO3001765	[rxn18606]
TO3001999	[rxn08924]
TI3000793	[rxn18808]
TI3000792	[rxn18759]
TR0003279	[rxn08344]
TR2000069	[rxn13411]
TR2000064	[rxn09731]
TR1100129	[rxn05221]
TR1100009	[rxn05210]
TR0016336	[rxn13765]
TI3000896	[rxn18790]
TI3000775	[rxn18819]
TI3000773	[rxn18716]
TI3000772	[rxn18885]
TI3000778	[rxn18852]
TO3000304	[rxn18457]
TO3001997	[rxn18678]
TI3000898	[rxn18708]
TO3001754	[rxn18651]
TI3000776	[rxn18818]
TO3001753	[rxn18599]
TO3001749	[rxn18597]
TO3001746	[rxn18591]
TR0002298	[rxn28566]
TR0003387	[rxn32983]
TI3000780	[rxn18802]
TR2000053	[rxn13301]
TR2000051	[rxn08154]
TR0016443	[rxn29249]
TO3001741	[rxn18592]
TO3000773	[rxn05148]
TO3001740	[rxn18654]
TR0004100	[rxn29104]
TO3001745	[rxn18604]
TI3001412	[rxn18908]
TO3001984	[rxn08191]
TO3000768	[rxn05219]
TR0004349	[rxn29407]
TR0003019	[rxn28575]
TI3000693	[rxn18786]
TR0003014	[rxn29392]
TR1001048	[rxn13759]
TR1000084	[rxn09690]
TO3000761	[rxn05153]
TI3000797	[rxn18757]
TO3000762	[rxn05619]
TI3000796	[rxn18794]
TO3000760	[rxn05176]
TR0000095	[rxn09771]
TO3001733	[rxn18639]
TI3001400	[rxn18221]
TO3000763	[rxn29218]
TO3000764	[rxn29219]
TI3000798	[rxn18882]
