pgp140	cpd15543
23dhmb	cpd19030
apg140	cpd26440
pe180	cpd15533
3psme	cpd00932
dtdp4aaddg	cpd15454
pe181	cpd15534
toctd2eACP	cpd14940
hkntd	cpd09255
idon__L	cpd00573
clpn161	cpd15429
clpn160	cpd15428
glyb	cpd00540
glyc	cpd00100
xan	cpd00309
dtdp4addg	cpd02661
pmtcoa	cpd00134
u3hga	cpd03584
rbl__L	cpd00397
h2mb4p	cpd08615
rhcys	cpd02227
mn2	cpd00030
idp	cpd00090
LalaDgluMdapDala	cpd15387
prbamp	cpd01777
rbl__D	cpd00258
23dhmp	cpd19046
r15bp	cpd00847
gfgaragund	cpd15473
dxyl5p	cpd08289
murein3p3p	cpd15501
leu__L	cpd00107
manglyc	cpd08374
ascb6p	cpd14905
tartr__D	cpd19018
acetol	cpd03105
apg120	cpd26441
2dda7p	cpd02857
3hmrsACP	cpd11484
alac__S	cpd19047
pgp120	cpd15542
tartr__L	cpd00666
3dhgulnp	cpd10596
s7p	cpd00238
pe160	cpd15531
damp	cpd00294
pe161	cpd29055
2ahbut	cpd19045
gam	cpd00276
amob	cpd02701
clpn181	cpd15431
gal	cpd00108
clpn180	cpd15430
dann	cpd00764
butso3	cpd11596
glu5p	cpd02097
phe__L	cpd00066
gar	cpd02394
ckdo	cpd02546
2shchc	cpd03451
3oddecACP	cpd11489
cellb	cpd03845
2dhp	cpd00712
orn	cpd00064
mnl	cpd00314
uLa4fn	cpd15575
3amac	cpd21486
4fe4s	cpd24682
murein4px4px4p	cpd15508
oxalcoa	cpd00262
xdp	cpd00972
pro__L	cpd00129
rib__D	cpd00105
pg161	cpd15539
pg160	cpd15538
hdcoa	cpd15238
dctp	cpd00356
clpn120	cpd15425
5fthf	cpd02197
1hdecg3p	cpd15327
dttp	cpd00357
aicar	cpd02851
o16aund	cpd15520
hdd2coa	cpd03126
2ddg6p	cpd02711
hisp	cpd00807
eca4colipa	cpd15457
3gmp	cpd03701
mpt	cpd03520
o2s	cpd00532
gdp	cpd00031
orot	cpd00247
cys__L	cpd00084
pimACP	cpd21087
cys__D	cpd00587
14glucan	cpd21754
val__L	cpd00156
pg141	cpd15537
5mtr	cpd01981
pg140	cpd15536
novbcn	cpd03032
lald__D	cpd00693
clpn141	cpd15427
clpn140	cpd15426
ttdcea	cpd15298
lald__L	cpd00334
metglcur	cpd24423
5mta	cpd00147
fald	cpd00055
2p4c2me	cpd08288
seln	cpd01078
um4p	cpd15579
adpglc	cpd00387
octa	cpd03846
23ddhb	cpd02566
2me4p	cpd08286
msa	cpd00191
zn2	cpd00034
g3ps	cpd15468
thrp	cpd08928
mercppyr	cpd00706
g3pi	cpd00902
23ccmp	cpd01571
g3pg	cpd02090
g3pe	cpd00908
hxcoa	cpd03124
acgam1p	cpd02611
ca2	cpd00063
accoa	cpd00022
datp	cpd00115
oxa	cpd00180
dhap	cpd00095
dsbdox	cpd15450
ugmd	cpd02964
malACP	cpd11492
ghb	cpd00728
hcys__L	cpd00135
acg5p	cpd02552
halipa	cpd15483
3hodcoa	cpd15204
cdpdhdecg	cpd15419
butACP	cpd11464
1odecg3p	cpd15329
ocdcaACP	cpd12458
g3pc	cpd00507
t3c11vaceACP	cpd15568
acald	cpd00071
tyrp	cpd03912
4abut	cpd00281
23dhbzs	cpd02582
anhm3p	cpd15400
pg181	cpd15541
pg180	cpd15540
imp	cpd00114
murein5p5p	cpd15511
urea	cpd00073
cdpdodec11eg	cpd15420
dxylnt	cpd00391
sucorn	cpd02160
argsuc	cpd02152
cpppg3	cpd02083
glu__L	cpd00023
h2o2	cpd00025
glu__D	cpd00186
eig3p	cpd02843
toct2eACP	cpd11471
maltttr	cpd01376
1hdec9eg3p	cpd15326
tag6p__D	cpd00805
octdp	cpd02557
acac	cpd00142
anhm4p	cpd15401
cbi	cpd03422
murein5p4p	cpd15510
hco3	cpd00242
ins	cpd00246
fecrm_un	cpd15462
cbm	cpd01101
cd2	cpd01012
cbp	cpd00146
ttrcyc	cpd03977
fc1p	cpd00806
dcyt	cpd00654
tdeACP	cpd15294
progly	cpd15551
